"Person_ID","Item_ID","Occasion","case","Score"
"1","1","1",1,-4.23148512087427
"1","1","2",2,-2.24993002929597
"1","1","3",3,0.00906407205572912
"1","1","4",4,-1.6839084961095
"1","2","1",5,-0.157627073260148
"1","2","2",6,-0.288308947380693
"1","2","3",7,1.18320923075179
"1","2","4",8,1.02524203517342
"1","3","1",9,1.95393360270624
"1","3","2",10,-2.16975687204077
"1","3","3",11,2.36650099759275
"1","3","4",12,-0.750390752953029
"1","4","1",13,-1.62630992863855
"1","4","2",14,-1.66120997766349
"1","4","3",15,0.336050313766674
"1","4","4",16,-0.75048205223924
"1","5","1",17,1.24526230889499
"1","5","2",18,-1.77308042182086
"1","5","3",19,2.18725120401757
"1","5","4",20,-1.91687252603677
"1","6","1",21,-0.372074095103739
"1","6","2",22,0.0905222946223625
"1","6","3",23,4.13390786223707
"1","6","4",24,-1.66834428594851
"1","7","1",25,0.529577216484492
"1","7","2",26,-0.465993485244619
"1","7","3",27,2.31461808241068
"1","7","4",28,0.168731221302483
"1","8","1",29,2.40419701871145
"1","8","2",30,2.722217239266
"1","8","3",31,0.634360605129629
"1","8","4",32,0.294870203327966
"1","9","1",33,-0.381220492683758
"1","9","2",34,-0.00728122039748247
"1","9","3",35,2.22669278063902
"1","9","4",36,-1.19041139343784
"1","10","1",37,-3.14318607780244
"1","10","2",38,0.799684943187142
"1","10","3",39,1.46465100635005
"1","10","4",40,1.33576797740769
"1","11","1",41,-1.9867916831979
"1","11","2",42,-1.417335721313
"1","11","3",43,1.07448687465898
"1","11","4",44,-3.34793174012213
"1","12","1",45,-3.37648002712435
"1","12","2",46,-1.26516201387907
"1","12","3",47,0.60329691659433
"1","12","4",48,-2.69539466987211
"1","13","1",49,-4.13764622966654
"1","13","2",50,-0.0288860731880867
"1","13","3",51,1.91286319054134
"1","13","4",52,-2.13131357138353
"1","14","1",53,-1.34713215827735
"1","14","2",54,-0.379494623569677
"1","14","3",55,2.56436884181656
"1","14","4",56,-0.827850425906096
"1","15","1",57,-4.89750412557387
"1","15","2",58,2.32302584827589
"1","15","3",59,4.61513464499924
"1","15","4",60,-1.30283478645906
"1","16","1",61,0.255414525713556
"1","16","2",62,1.30808855678394
"1","16","3",63,1.71702801109335
"1","16","4",64,-1.62529679601328
"1","17","1",65,-1.58556280640772
"1","17","2",66,-1.97981305958696
"1","17","3",67,2.22114127081172
"1","17","4",68,-0.442782437421004
"1","18","1",69,-2.68453741258172
"1","18","2",70,3.82348508921759
"1","18","3",71,3.52791881899263
"1","18","4",72,0.305967519574025
"1","19","1",73,-0.508384012427789
"1","19","2",74,3.2555018364008
"1","19","3",75,1.25298441273317
"1","19","4",76,-4.43366159587963
"1","20","1",77,-0.153680883998115
"1","20","2",78,-1.00232265815722
"1","20","3",79,2.20252745761368
"1","20","4",80,-0.752229877438948
"1","21","1",81,-0.495573398521761
"1","21","2",82,0.582814954763678
"1","21","3",83,2.08328870850338
"1","21","4",84,0.0225031380408931
"1","22","1",85,-1.27661460765002
"1","22","2",86,-0.320222990990011
"1","22","3",87,2.25483209435179
"1","22","4",88,1.23051131105021
"1","23","1",89,-1.49973247311539
"1","23","2",90,-0.520790343452731
"1","23","3",91,2.06951079337098
"1","23","4",92,-2.20056335663199
"1","24","1",93,-3.36033953900965
"1","24","2",94,0.535486784099923
"1","24","3",95,1.17411553489436
"1","24","4",96,1.13692913506488
"1","25","1",97,-1.68906487316459
"1","25","2",98,0.477264297869954
"1","25","3",99,1.35041014138269
"1","25","4",100,-0.918961696029825
"1","26","1",101,0.633888934341657
"1","26","2",102,0.663221012006546
"1","26","3",103,2.1831806172125
"1","26","4",104,-1.03615851217121
"1","27","1",105,-0.566873502910354
"1","27","2",106,0.94675538684533
"1","27","3",107,3.07176481613891
"1","27","4",108,0.460373035497006
"1","28","1",109,-0.848186228839148
"1","28","2",110,-2.12746387113496
"1","28","3",111,3.58955374367935
"1","28","4",112,-0.297222761796258
"1","29","1",113,-5.26522057912255
"1","29","2",114,0.590228077351392
"1","29","3",115,0.444236782003438
"1","29","4",116,-1.11487127991092
"1","30","1",117,-1.1733309127255
"1","30","2",118,1.51616510770077
"1","30","3",119,2.66818070438693
"1","30","4",120,1.64630809888122
"1","31","1",121,0.938964741645492
"1","31","2",122,0.595977885044564
"1","31","3",123,0.213936950176789
"1","31","4",124,-0.518345840029072
"1","32","1",125,-1.38826182220612
"1","32","2",126,2.43370707696104
"1","32","3",127,3.92619430865327
"1","32","4",128,-2.32091935873902
"1","33","1",129,-0.202138584858392
"1","33","2",130,-0.829015490751291
"1","33","3",131,0.688966790001518
"1","33","4",132,2.50839543226092
"1","34","1",133,0.833003483695216
"1","34","2",134,1.66260333265068
"1","34","3",135,0.236428225700336
"1","34","4",136,-2.2882092090459
"1","35","1",137,-1.47478564040261
"1","35","2",138,2.76286551956577
"1","35","3",139,1.26269852103336
"1","35","4",140,0.83138445845254
"1","36","1",141,0.390934368364197
"1","36","2",142,1.93167061623005
"1","36","3",143,1.85055575802152
"1","36","4",144,-3.09035326468951
"1","37","1",145,0.796492000863043
"1","37","2",146,4.52715490846876
"1","37","3",147,1.32320715161634
"1","37","4",148,-0.376581851796694
"1","38","1",149,-0.214165744074428
"1","38","2",150,1.02657168440921
"1","38","3",151,2.49023195134377
"1","38","4",152,-0.607373621019492
"1","39","1",153,-1.73890729618477
"1","39","2",154,3.5820741576177
"1","39","3",155,-0.378106198859759
"1","39","4",156,-2.57236629758768
"1","40","1",157,-2.16019143343212
"1","40","2",158,0.606453029485999
"1","40","3",159,1.04660070472882
"1","40","4",160,-0.0658454568713162
"1","41","1",161,-1.08379702114806
"1","41","2",162,-0.685507102272837
"1","41","3",163,-0.825594160229826
"1","41","4",164,-2.5203820526838
"1","42","1",165,1.03127019721595
"1","42","2",166,0.150039629359287
"1","42","3",167,0.605744342188841
"1","42","4",168,-0.590798083553023
"1","43","1",169,-2.67894502865831
"1","43","2",170,0.129037408094457
"1","43","3",171,-0.477391036942301
"1","43","4",172,-1.52414769833312
"1","44","1",173,0.517836432835568
"1","44","2",174,0.857088403248261
