"Person_ID","Item_ID","Occasion","Score"
"1","1","1",2.52966297736449
"1","1","2",-0.208340052407308
"1","1","3",2.98628161492622
"1","1","4",-0.0809189674436424
"1","2","1",-0.887454631647255
"1","2","2",-1.30354270985747
"1","2","3",0.111436932657622
"1","2","4",-2.28828315926544
"1","3","1",-1.62014439353187
"1","3","2",0.474203611532443
"1","3","3",0.409588842467128
"1","3","4",-0.486206716760049
"1","4","1",1.76099836626388
"1","4","2",2.93585487774051
"1","4","3",-1.18760679185859
"1","4","4",1.55592640002077
"1","5","1",-0.945379732601904
"1","5","2",2.64980961929769
"1","5","3",1.03348278889888
"1","5","4",-1.65226742332746
"1","6","1",-1.14375372070997
"1","6","2",-3.58955092331723
"1","6","3",0.615860975693593
"1","6","4",-0.612583995666474
"1","7","1",0.378898728637455
"1","7","2",-4.92842034939354
"1","7","3",2.21875535484086
"1","7","4",-1.20798656062984
"1","8","1",-2.01558636169815
"1","8","2",0.309661842235683
"1","8","3",1.46175681518447
"1","8","4",-2.22706661507963
"1","9","1",-0.913069216008362
"1","9","2",1.47558785267657
"1","9","3",-1.7829930491536
"1","9","4",-1.43379117370866
"1","10","1",0.695260122394465
"1","10","2",-0.214812345058804
"1","10","3",0.769643052831108
"1","10","4",-0.0897907560445111
"1","11","1",-2.10400161111937
"1","11","2",-0.311868162024758
"1","11","3",0.882196282829399
"1","11","4",-2.03729731817246
"1","12","1",0.974820295934966
"1","12","2",0.86001671438712
"1","12","3",-1.99731331980191
"1","12","4",-1.6788215457653
"1","13","1",-1.4245619044954
"1","13","2",0.763219314503212
"1","13","3",-0.356610646430499
"1","13","4",-0.247697002625848
"1","14","1",-0.525849760024149
"1","14","2",-2.9513767154504
"1","14","3",-0.938655839279162
"1","14","4",-2.4277378655929
"1","15","1",-2.23224749500023
"1","15","2",1.82540240198538
"1","15","3",-0.525131050171419
"1","15","4",-0.712922502176773
"1","16","1",0.360497090466678
"1","16","2",0.0664828762064071
"1","16","3",3.76010851852092
"1","16","4",0.364926662262081
"1","17","1",2.90136252998308
"1","17","2",1.51223121581144
"1","17","3",1.92358136636232
"1","17","4",0.156703644353024
"1","18","1",0.133743187752431
"1","18","2",1.69114941337733
"1","18","3",1.11325274830803
"1","18","4",-0.723351219019688
"1","19","1",1.23417518664319
"1","19","2",1.02713575946322
"1","19","3",0.699461462548999
"1","19","4",-0.286789188772504
"1","20","1",-0.576979447995391
"1","20","2",2.9186536344174
"1","20","3",0.402312877551716
"1","20","4",-2.4557642629956
"2","1","1",0.276234871507498
"2","1","2",-2.05844838550063
"2","1","3",2.40636427938803
